plant_id,meter_id,meter_reading,created_at,data_availability,guid,date
900003,910004,105693187.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000055,2025-10-22 11:00:10.000000 UTC
900003,910001,100226945.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000056,2025-10-22 11:00:10.000000 UTC
900002,910002,590183812.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000057,2025-10-22 11:00:10.000000 UTC
900005,910006,233300218.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000058,2025-10-22 11:00:10.000000 UTC
900005,910007,237723015.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000059,2025-10-22 11:00:10.000000 UTC
900001,910008,508534187.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000060,2025-10-22 11:00:10.000000 UTC
900004,910003,313903963.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000061,2025-10-22 11:00:10.000000 UTC
900004,910005,324900563.0,2025-10-22 11:00:10.000000 UTC,1,plant-guid-00000062,2025-10-22 11:00:10.000000 UTC
900003,910000,208276500.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000063,2025-10-22 09:00:10.000000 UTC
900003,910001,100213109.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000064,2025-10-22 09:00:10.000000 UTC
900003,910004,105676429.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000065,2025-10-22 09:00:10.000000 UTC
900002,910002,590124625.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000066,2025-10-22 09:00:10.000000 UTC
900005,910006,233291734.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000067,2025-10-22 09:00:10.000000 UTC
900005,910007,237713843.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000068,2025-10-22 09:00:10.000000 UTC
900001,910008,508457406.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000069,2025-10-22 09:00:10.000000 UTC
900004,910005,324807973.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000070,2025-10-22 09:00:10.000000 UTC
900004,910003,313886849.0,2025-10-22 09:00:10.000000 UTC,1,plant-guid-00000071,2025-10-22 09:00:10.000000 UTC
900003,910004,105693445.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000072,2025-10-22 13:00:10.000000 UTC
900003,910001,100227195.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000073,2025-10-22 13:00:10.000000 UTC
900003,910000,208308140.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000074,2025-10-22 13:00:10.000000 UTC
900002,910002,590187062.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000075,2025-10-22 13:00:10.000000 UTC
900005,910007,237752609.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000076,2025-10-22 13:00:10.000000 UTC
900005,910006,233328375.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000077,2025-10-22 13:00:10.000000 UTC
900001,910008,508536031.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000078,2025-10-22 13:00:10.000000 UTC
900004,910005,324902780.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000079,2025-10-22 13:00:10.000000 UTC
900004,910003,313905523.0,2025-10-22 13:00:10.000000 UTC,1,plant-guid-00000080,2025-10-22 13:00:10.000000 UTC
900003,910000,208308125.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000081,2025-10-22 12:00:10.000000 UTC
900003,910004,105693445.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000082,2025-10-22 12:00:10.000000 UTC
900003,910001,100227195.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000083,2025-10-22 12:00:10.000000 UTC
900002,910002,590187062.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000084,2025-10-22 12:00:10.000000 UTC
900005,910006,233328375.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000085,2025-10-22 12:00:10.000000 UTC
900005,910007,237752593.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000086,2025-10-22 12:00:10.000000 UTC
900001,910008,508536031.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000087,2025-10-22 12:00:10.000000 UTC
900004,910005,324902777.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000088,2025-10-22 12:00:10.000000 UTC
900004,910003,313905523.0,2025-10-22 12:00:10.000000 UTC,1,plant-guid-00000089,2025-10-22 12:00:10.000000 UTC
900003,910004,105688585.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000090,2025-10-22 10:00:10.000000 UTC
900003,910001,100222968.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000091,2025-10-22 10:00:10.000000 UTC
900003,910000,208299812.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000092,2025-10-22 10:00:10.000000 UTC
900002,910002,590174312.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000093,2025-10-22 10:00:10.000000 UTC
900005,910006,233300218.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000094,2025-10-22 10:00:10.000000 UTC
900005,910007,237723015.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000095,2025-10-22 10:00:10.000000 UTC
900001,910008,508512250.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000096,2025-10-22 10:00:10.000000 UTC
900004,910003,313901269.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000097,2025-10-22 10:00:10.000000 UTC
900004,910005,324880787.0,2025-10-22 10:00:10.000000 UTC,1,plant-guid-00000098,2025-10-22 10:00:10.000000 UTC
900003,910000,208484921.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000099,2025-10-23 10:00:10.000000 UTC
900003,910001,100302781.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000100,2025-10-23 10:00:10.000000 UTC
900003,910004,105785070.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000101,2025-10-23 10:00:10.000000 UTC
900002,910002,590845062.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000102,2025-10-23 10:00:10.000000 UTC
900005,910006,233738546.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000103,2025-10-23 10:00:10.000000 UTC
900005,910007,238157218.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000104,2025-10-23 10:00:10.000000 UTC
900001,910008,509258812.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000105,2025-10-23 10:00:10.000000 UTC
900004,910003,314533000.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000106,2025-10-23 10:00:10.000000 UTC
900004,910005,325661208.0,2025-10-23 10:00:10.000000 UTC,1,plant-guid-00000107,2025-10-23 10:00:10.000000 UTC
900003,910001,100302781.0,2025-10-23 06:00:10.000000 UTC,1,plant-guid-00000108,2025-10-23 06:00:10.000000 UTC
900003,910000,208484921.0,2025-10-23 06:00:10.000000 UTC,1,plant-guid-00000109,2025-10-23 06:00:10.000000 UTC
900003,910004,105785070.0,2025-10-23 06:00:10.000000 UTC,1,plant-guid-00000110,2025-10-23 06:00:10.000000 UTC
900002,910002,590487937.0,2025-10-23 06:00:10.000000 UTC,1,plant-guid-00000111,2025-10-23 06:00:10.000000 UTC
